,24:593644,24:593619,24:593644,24:593596,24:593622,24:593523
,25:142501,25:142500,25:142501,25:142499,25:142500,25:142496
,26:27405,26:27405,26:27405,26:27405,26:27405,26:27405
,27:4060,27:4060,27:4060,27:4060,27:4060,27:4060
,28:435,28:435,28:435,28:435,28:435,28:435
,29:30,29:30,29:30,29:30,29:30,29:30
,30:1,30:1,30:1,30:1,30:1,30:1
,Graph G,Graph G,Graph G,Graph G,Graph G,Graph G
,0:28 14 11 8 ,0:22 18 11 5 ,0:27 16 9 3 ,0:17 15 12 7 ,0:23 19 17 3 ,0:23 20 10 9 
,1:29 15 6 2 ,1:28 24 12 4 ,1:11 8 7 2 ,1:27 23 20 5 ,1:12 8 4 2 ,1:29 26 22 5 
,2:27 19 15 10 1 ,2:25 13 10 3 ,2:28 18 9 6 1 ,2:22 21 13 10 ,2:16 12 10 7 1 ,2:24 18 15 5 
,3:28 21 12 5 ,3:28 25 23 9 2 ,3:29 27 24 22 0 ,3:27 25 10 6 ,3:29 28 26 25 0 ,3:29 21 18 4 
,4:26 25 16 14 ,4:29 23 19 18 1 ,4:22 11 8 6 ,4:29 23 6 5 ,4:18 13 11 9 1 ,4:27 19 10 7 3 
,5:21 19 15 6 3 ,5:27 26 21 16 0 ,5:29 27 12 10 ,5:28 27 26 15 4 1 ,5:20 16 13 10 ,5:28 20 15 7 2 1 
,6:29 27 24 10 5 1 ,6:28 27 25 11 ,6:25 24 18 17 4 2 ,6:29 26 16 12 4 3 ,6:25 19 9 7 ,6:24 18 13 7 
,7:26 10 9 8 ,7:21 18 17 15 ,7:28 25 19 16 1 ,7:20 17 16 9 0 ,7:26 12 11 8 6 2 ,7:26 22 20 19 6 5 4 
,8:27 25 15 13 7 0 ,8:27 23 17 14 ,8:22 20 19 10 4 1 ,8:24 20 17 10 ,8:28 23 18 12 7 1 ,8:29 22 13 10 
,9:28 23 14 13 7 ,9:29 20 19 12 3 ,9:28 25 24 11 2 0 ,9:23 21 13 11 7 ,9:27 25 21 17 6 4 ,9:26 25 22 13 0 
,10:26 24 21 16 7 6 2 ,10:24 22 19 15 2 ,10:27 25 16 15 8 5 ,10:26 21 20 12 8 3 2 ,10:26 25 24 12 5 2 ,10:27 22 19 17 8 4 0 
,11:22 18 15 13 0 ,11:25 22 13 12 6 0 ,11:29 24 18 14 9 4 1 ,11:28 22 21 17 9 ,11:23 20 18 13 7 4 ,11:29 28 26 15 
,12:26 22 18 15 3 ,12:26 23 20 16 11 9 1 ,12:25 23 22 19 5 ,12:28 27 25 15 10 6 0 ,12:28 22 17 16 10 8 7 2 1 ,12:25 24 21 20 
,13:26 22 21 15 11 9 8 ,13:28 26 24 21 11 2 ,13:21 20 18 14 ,13:22 18 16 15 9 2 ,13:29 26 21 16 11 5 4 ,13:27 24 22 21 9 8 6 
,14:26 23 21 19 9 4 0 ,14:29 25 20 15 8 ,14:27 23 21 16 13 11 ,14:28 26 20 17 ,14:29 23 21 18 ,14:27 24 19 15 
,15:27 23 20 16 13 12 11 8 5 2 1 ,15:24 23 22 18 14 10 7 ,15:26 21 19 16 10 ,15:29 25 22 18 13 12 5 0 ,15:28 24 21 16 ,15:24 20 19 18 14 11 5 2 
,16:25 22 19 17 15 10 4 ,16:25 22 18 17 12 5 ,16:29 24 22 18 15 14 10 7 0 ,16:22 21 20 19 13 7 6 ,16:29 25 23 17 15 13 12 5 2 ,16:26 25 23 17 
,17:29 27 25 23 16 ,17:29 28 25 21 16 8 7 ,17:28 26 25 19 6 ,17:29 28 26 25 14 11 8 7 0 ,17:28 26 21 19 16 12 9 0 ,17:24 22 21 19 16 10 
,18:29 27 22 19 12 11 ,18:27 22 21 19 16 15 7 4 0 ,18:29 23 20 19 16 13 11 6 2 ,18:25 24 22 20 15 13 ,18:28 22 21 19 14 11 8 4 ,18:27 25 22 21 15 6 3 2 
,19:29 27 26 20 18 16 14 5 2 ,19:28 25 22 21 18 10 9 4 ,19:27 25 21 20 18 17 15 12 8 7 ,19:29 28 26 20 16 ,19:29 27 26 21 18 17 6 0 ,19:28 27 26 22 17 15 14 10 7 4 
,20:27 26 25 21 19 15 ,20:29 26 23 22 14 12 9 ,20:29 26 22 21 19 18 13 8 ,20:27 26 24 21 19 18 16 14 10 8 7 1 ,20:26 25 24 23 11 5 ,20:28 27 25 21 15 12 7 5 0 
,21:27 25 24 23 20 14 13 10 5 3 ,21:29 26 25 24 19 18 17 13 7 5 ,21:29 26 25 22 20 19 15 14 13 ,21:28 24 23 22 20 16 11 10 9 2 ,21:28 26 23 22 19 18 17 15 14 13 9 ,21:28 27 23 22 20 18 17 13 12 3 
,22:28 25 24 23 18 16 13 12 11 ,22:29 27 25 24 20 19 18 16 15 11 10 0 ,22:29 28 25 23 21 20 16 12 8 4 3 ,22:26 25 24 23 21 18 16 15 13 11 2 ,22:29 28 25 23 21 18 12 ,22:27 26 24 23 21 19 18 17 13 10 9 8 7 1 
,23:28 26 25 24 22 21 17 15 14 9 ,23:29 27 26 25 20 15 12 8 4 3 ,23:29 28 26 24 22 18 14 12 ,23:29 27 26 25 22 21 9 4 1 ,23:29 27 26 24 22 21 20 16 14 11 8 0 ,23:29 26 25 24 22 21 16 0 
,24:29 27 26 25 23 22 21 10 6 ,24:29 28 27 25 22 21 15 13 10 1 ,24:29 28 27 25 23 16 11 9 6 3 ,24:29 28 27 25 22 21 20 18 8 ,24:29 27 26 25 23 20 15 10 ,24:29 28 27 26 23 22 17 15 14 13 12 6 2 
,25:29 28 27 26 24 23 22 21 20 17 16 8 4 ,25:29 28 27 26 24 23 22 21 19 17 16 14 11 6 3 2 ,25:29 28 27 26 24 22 21 19 17 12 10 9 7 6 ,25:29 28 27 26 24 23 22 18 17 15 12 3 ,25:29 28 27 26 24 22 20 16 10 9 6 3 ,25:29 28 27 26 23 20 18 16 12 9 
,26:29 28 27 25 24 23 20 19 14 13 12 10 7 4 ,26:29 28 27 25 23 21 20 13 12 5 ,26:29 28 27 25 23 21 20 17 15 ,26:29 28 27 25 23 22 20 19 17 14 10 6 5 ,26:29 28 27 25 24 23 21 20 19 17 13 10 7 3 ,26:29 28 27 25 24 23 22 19 16 11 9 7 1 
,27:29 28 26 25 24 21 20 19 18 17 15 8 6 2 ,27:29 28 26 25 24 23 22 18 8 6 5 ,27:29 28 26 25 24 19 14 10 5 3 0 ,27:29 28 26 25 24 23 20 12 5 3 1 ,27:29 28 26 25 24 23 19 9 ,27:29 28 26 25 24 22 21 20 19 18 14 13 10 4 
,28:29 27 26 25 23 22 9 3 0 ,28:29 27 26 25 24 19 17 13 6 3 1 ,28:29 27 26 25 24 23 22 17 9 7 2 ,28:29 27 26 25 24 21 19 17 14 12 11 5 ,28:29 27 26 25 22 21 18 17 15 12 8 3 ,28:29 27 26 25 24 21 20 19 11 5 
,29:28 27 26 25 24 19 18 17 6 1 ,29:28 27 26 25 24 23 22 21 20 17 14 9 4 ,29:28 27 26 25 24 23 22 21 20 18 16 11 5 3 ,29:28 27 26 25 24 23 19 17 15 6 4 ,29:28 27 26 25 24 23 22 19 16 14 13 3 ,29:28 27 26 25 24 23 11 8 3 1 
,dominated: 0 0 1 0 0 1 2 0 2 1 3 1 1 3 3 7 3 1 2 5 2 6 5 6 5 9 11 12 8 10 ,dominated: 0 0 0 1 1 1 0 0 0 1 1 2 3 2 1 3 2 3 5 4 3 6 8 6 6 12 7 9 10 13 ,dominated: 0 0 1 1 0 0 2 1 2 2 2 3 1 0 2 1 5 1 5 6 4 5 7 4 6 10 6 9 10 14 ,dominated: 0 0 0 0 0 2 2 1 0 1 3 1 3 2 0 4 3 5 2 1 8 6 7 5 5 8 10 9 11 11 ,dominated: 0 0 1 1 1 0 0 2 2 2 2 2 5 3 0 0 5 4 4 4 2 7 3 8 4 8 11 6 11 12 ,dominated: 0 0 0 0 1 2 0 3 0 1 3 0 0 3 0 4 0 2 4 6 5 6 10 4 9 6 10 12 9 10 
,counter  : 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ,counter  : 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ,counter  : 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ,counter  : 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ,counter  : 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ,counter  : 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
,time:0,time:0,time:0,time:0,time:0,time:0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

